"노선_ID","정류장_ID","링크_구간거리(m)","정류장_순서"
"241352009","218001266","223.000","55"
"241352009","218001110","1077.000","7"
"241352009","218001098","149.000","69"
"241352009","218001078","350.000","68"
"241352009","218001052","253.000","64"
"241352009","218000984","149.000","4"
"241352009","218000981","509.000","3"
"241352009","218000930","245.000","54"
"241352009","218000895","176.000","18"
"241352009","218000771","361.000","65"
"241352009","218000754","438.000","53"
"241352009","218000753","183.000","20"
"241352009","218000752","300.000","51"
"241352009","218000702","436.000","8"
"241352009","218000696","214.000","9"
"241352009","218000695","380.000","63"
"241352009","218000693","302.000","16"
"241352009","218000692","380.000","13"
"241352009","218000691","334.000","56"
"241352009","218000690","210.000","58"
"241352009","218000689","420.000","14"
"241352009","218000688","360.000","60"
"241352009","218000687","280.000","12"
"241352009","218000686","490.000","59"
"241352009","218000681","278.000","21"
"241352009","218000680","452.000","50"
"241352009","218000670","1102.000","66"
"241352009","218000669","290.000","6"
"241352009","218000668","279.000","67"
"241352009","218000667","222.000","5"
"241352009","218000663","411.000","49"
"241352009","218000661","595.000","47"
"241352009","218000660","862.000","24"
"241352009","218000649","527.000","46"
"241352009","218000648","589.000","43"
"241352009","218000647","321.000","28"
"241352009","218000646","514.000","45"
"241352009","218000645","514.000","26"
"241352009","218000644","614.000","25"
"241352009","218000643","413.000","44"
"241352009","218000642","574.000","27"
"241352009","218000631","525.000","22"
"241352009","218000544","340.000","61"
"241352009","218000543","320.000","11"
"241352009","218000534","347.000","23"
"241352009","218000529","836.000","48"
"241352009","218000278","410.000","10"
"241352009","218000271","310.000","62"
"241352009","218000226","320.000","2"
"241352009","218000215","430.000","70"
"241352009","218000214","300.000","71"
"241352009","218000186","166.000","52"
"241352009","218000151","0.000","1"
"241352009","218000142","561.000","29"
"241352009","218000140","830.000","30"
"241352009","218000139","823.000","41"
"241352009","218000137","900.000","42"
"241352009","218000041","717.000","19"
"241352009","111000220","473.000","37"
"241352009","111000007","793.000","34"
"241352009","111000006","739.000","38"
"241352009","111000005","503.000","33"
"241352009","111000004","391.000","39"
"241352009","111000003","587.000","32"
"241352009","111000002","689.000","40"
"241352009","111000001","876.000","31"
"241352007","277102090","450.000","34"
"241352007","277102089","373.000","33"
"241352007","218001362","250.000","45"
"241352007","218001361","160.000","22"
"241352007","218001358","569.000","27"
"241352007","218001357","440.000","40"
"241352007","218001356","420.000","28"
"241352007","218001355","1110.000","39"
